score_id
biddig
biddgf
biddfc
bidcib
bidcga
bidcdc
bidbdf
bidajb
bidaie
bidaha
bidacb
bidaca
bidabh
bicjgd
bicjdh
bicidd
bichde
bichch
bichcf
bicghe
bicggd
bicfce
bicfcb
bicfca
biceif
biceef
bicdhc
biccha
biccge
bicbhj
bicbdc
bicbdb
bicage
bicacc
bicaae
bibiad
bibegb
bibdje
bibdbe
bibbcj
bibbci
bibbcc
bibbcd
bibbce
bibbcb
bibbca
bibbaj
bibbaf
bibajg
bibajb
bibaih
bibaii
biajib
biagdd
biafgc
biafed
biadgh
biadec
biaaaf
biaaah
biaaac
